latitude,longitude
38.0863573,-85.8637142
38.2139429,-85.6491988
38.2049256,-85.6933550
38.1993926,-85.6437923
38.1285674,-85.6742682
38.2051303,-85.6324299
38.2439121,-85.8052047
38.2034711,-85.6375463
38.1633201,-85.8551450
38.1852274,-85.7738345
38.1629271,-85.8718632
38.0498820,-85.8979977
38.2201828,-85.6953382
38.2058391,-85.6654385
38.2567054,-85.6424229
38.1207679,-85.7557468
38.1835675,-85.7918332
38.1777143,-85.8157889
38.2273248,-85.7123236
38.2142505,-85.6407009
38.1633571,-85.8551219
38.2324095,-85.5748783
38.2039930,-85.6296470
38.1043390,-85.7395169
38.2413932,-85.6444546
38.1457932,-85.5820014
38.2289766,-85.7924435
38.1998450,-85.6717306
38.2178923,-85.6350046
38.2186293,-85.6844235
38.1071124,-85.8639537
38.1572093,-85.8765466
38.1129841,-85.6738098
38.2312880,-85.7524598
38.2000598,-85.6309349
38.2639225,-85.7995325
38.2299827,-85.6843574
38.1925630,-85.6318755
38.0985567,-85.6674517
38.2259823,-85.6843307
38.2279789,-85.7980835
38.2121842,-85.7456879
38.1147338,-85.8714533
38.1458790,-85.6680423
38.2107302,-85.7472191
38.2102211,-85.7752771
38.2550021,-85.6421456
38.2426362,-85.7864414
38.2412611,-85.7850129
38.1689499,-85.8571002
38.1142445,-85.7614306
38.0943448,-85.6440860
38.1981847,-85.8065449
38.1469759,-85.6336520
38.2846116,-85.5963597
38.2498667,-85.8194963
38.2857233,-85.4772503
38.2046235,-85.8186576
38.1448385,-85.8443263
38.1761551,-85.5485354
38.1713507,-85.8538125
38.2389447,-85.4463321
38.2750141,-85.6057077
38.1784008,-85.6637901
38.1992841,-85.7809305
38.3038031,-85.5421389
38.1959755,-85.7722163
38.0880225,-85.6510450
38.1469164,-85.5787652
38.1299445,-85.6692667
38.0890132,-85.6540294
38.0864844,-85.6515457
38.2602365,-85.6461287
38.2586114,-85.7023808
38.2662556,-85.8159682
38.0944973,-85.8596810
38.1886161,-85.8218767
38.1459590,-85.6079235
38.1312300,-85.8627503
38.1426608,-85.8678664
38.2254402,-85.7707952
38.1441962,-85.8508815
38.1488862,-85.6102978
38.1448974,-85.8877830
38.1747306,-85.5897096
38.1729224,-85.6713381
38.1607201,-85.6079365
38.2327562,-85.7371679
38.2368227,-85.7785987
38.1823687,-85.8507123
38.1721807,-85.7094159
38.2638160,-85.8198294
38.1806354,-85.8250491
38.3130615,-85.5546186
38.1869784,-85.8556793
38.1251144,-85.6782556
38.2196400,-85.6732833
38.2307509,-85.7557085
38.1975661,-85.7824470
38.1455097,-85.8898625
38.1504677,-85.6102152
38.2184380,-85.6491861
38.1295914,-85.8782665
